,New_Date,VisitingTeam,VisitorStartingPitcherName,HomeTeam,HomeStartingPitcherName,VisitorRunsScored,HomeRunsScore,VisitorAB,VisitorH,Visitor_BA,VisitorHBP,VisitorBB,VisitorIBB,VisitorLOB,HomeAB,HomeH,Home_BA,HomeHBP,HomeBB,HomeIBB,HomeLOB,Home_team_won?,prior_year,year_x,playerName_x,teamAbbrev_x,winningPercentage_x,runsScoredPer9_x,hitsPer9_x,strikeoutsPer9_x,baseOnBallsPer9_x,homeRunsPer9_x,era_x,whip_x,ops_x,gidp_x,avg_x,year_y,playerName_y,teamAbbrev_y,winningPercentage_y,runsScoredPer9_y,hitsPer9_y,strikeoutsPer9_y,baseOnBallsPer9_y,homeRunsPer9_y,era_y,whip_y,ops_y,gidp_y,avg_y,year,teamAbbrev,hits,atBats,team_BA,totalBases,total_bases_avg,leftOnBase,LOB_avg,runs,runs_avg,strikeOuts,atBats,K_avg,baseOnBalls,BB_avg,rbi,RBI_avg,year_home,teamAbbrev_home,hits_home,atBats_home,team_BA_home,totalBases_home,total_bases_avg_home,leftOnBase_home,LOB_avg_home,runs_home,runs_avg_home,strikeOuts_home,atBats_home,K_avg_home,baseOnBalls_home,BB_avg_home,rbi_home,RBI_avg_home,current_year
0,2023-03-30,MIL,Corbin Burnes,CHC,Marcus Stroman,0,4,29,4,0.138,0,5,0,7,30,6,0.2,1,4,0,7,True,2022,2022.0,Corbin Burnes,MIL,.600,3.25,6.42,10.83,2.27,1.02,2.94,0.97,0.602,15.0,0.197,2022.0,Marcus Stroman,CHC,.462,3.96,7.98,7.72,2.34,1.04,3.50,1.15,0.664,6.0,0.234,2022.0,MIL,1275.0,5428.0,0.235,2217.0,0.362,2316.0,0.378,724.0,0.118,1465.0,5428.0,0.27,577.0,0.094,701.0,0.114,2022.0,CHC,1313.0,5523.0,0.238,2135.0,0.346,2423.0,0.392,662.0,0.107,1512.0,5523.0,0.274,510.0,0.083,631.0,0.102,2023
1,2023-03-30,PIT,Mitch Keller,CIN,Hunter Greene,5,4,30,6,0.2,0,9,0,9,33,7,0.212,0,6,0,8,False,2022,2022.0,Mitch Keller,PIT,.294,4.36,9.17,7.81,3.40,0.79,3.91,1.40,0.73,22.0,0.266,2022.0,Hunter Greene,CIN,.278,4.58,7.45,11.75,3.44,1.72,4.44,1.21,0.725,5.0,0.222,2022.0,PIT,1149.0,5122.0,0.224,1855.0,0.328,2073.0,0.366,567.0,0.1,1445.0,5122.0,0.282,433.0,0.077,528.0,0.093,2022.0,CIN,1047.0,4557.0,0.23,1618.0,0.32,1897.0,0.375,504.0,0.1,1212.0,4557.0,0.266,371.0,0.073,487.0,0.096,2023
2,2023-03-30,ARI,Zac Gallen,LAD,Julio Urias,2,8,28,4,0.143,1,0,0,1,34,12,0.353,0,5,0,8,True,2022,2022.0,Zac Gallen,AZ,.750,2.74,5.92,9.39,2.30,0.73,2.54,0.91,0.559,12.0,0.186,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2022.0,LAD,1439.0,5695.0,0.253,2488.0,0.386,2542.0,0.394,866.0,0.134,1459.0,5695.0,0.256,638.0,0.099,832.0,0.129,2023
3,2023-03-30,NYM,Max Scherzer,MIA,Sandy Alcantara,5,3,32,8,0.25,1,5,0,8,30,5,0.167,0,2,0,2,False,2022,2022.0,Max Scherzer,NYM,.688,2.42,6.69,10.71,1.49,0.81,2.29,0.91,0.573,11.0,0.207,2022.0,Sandy Alcantara,MIA,.609,2.64,6.85,8.15,1.97,0.63,2.28,0.98,0.587,21.0,0.212,2022.0,NYM,1540.0,6049.0,0.255,2499.0,0.366,2715.0,0.398,845.0,0.124,1375.0,6049.0,0.227,586.0,0.086,827.0,0.121,2022.0,MIA,1145.0,4979.0,0.23,1803.0,0.328,2044.0,0.372,541.0,0.099,1319.0,4979.0,0.265,408.0,0.074,508.0,0.093,2023
4,2023-03-30,COL,German Marquez,SD,Blake Snell,7,2,44,17,0.386,0,1,0,11,32,7,0.219,0,1,0,7,False,2022,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,Blake Snell,SD,.444,3.59,7.24,12.02,3.59,0.77,3.38,1.20,0.634,6.0,0.216,2022.0,COL,1408.0,5540.0,0.254,2203.0,0.361,2405.0,0.394,698.0,0.114,1330.0,5540.0,0.24,453.0,0.074,669.0,0.11,2022.0,SD,1409.0,5661.0,0.249,2308.0,0.357,2411.0,0.373,789.0,0.122,1304.0,5661.0,0.23,662.0,0.102,737.0,0.114,2023
5,2023-03-30,TOR,Alek Manoah,STL,Miles Mikolas,10,9,43,19,0.442,1,3,0,12,41,15,0.366,0,6,1,11,False,2022,2022.0,Alek Manoah,TOR,.696,2.52,6.59,8.24,2.33,0.73,2.24,0.99,0.582,12.0,0.202,2022.0,Miles Mikolas,STL,.480,3.60,7.56,6.81,1.73,1.11,3.29,1.03,0.64,15.0,0.226,2022.0,TOR,1599.0,6138.0,0.261,2586.0,0.381,2597.0,0.383,842.0,0.124,1330.0,6138.0,0.217,541.0,0.08,816.0,0.12,2022.0,STL,1293.0,5085.0,0.254,2174.0,0.38,2120.0,0.37,717.0,0.125,1132.0,5085.0,0.223,517.0,0.09,708.0,0.124,2023
6,2023-03-30,ATL,Max Fried,WAS,Patrick Corbin,7,2,40,12,0.3,0,6,0,12,33,8,0.242,0,4,0,9,False,2022,2022.0,Max Fried,ATL,.667,2.67,7.58,8.26,1.55,0.58,2.48,1.01,0.581,15.0,0.225,2022.0,Patrick Corbin,WSH,.240,7.02,12.38,7.55,2.89,1.59,6.31,1.70,0.887,14.0,0.321,2022.0,ATL,1472.0,5924.0,0.248,2547.0,0.388,2359.0,0.36,818.0,0.125,1628.0,5924.0,0.275,517.0,0.079,787.0,0.12,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2023
7,2023-03-30,BAL,Kyle Gibson,BOS,Corey Kluber,10,9,38,15,0.395,1,9,0,12,35,11,0.314,2,3,0,5,False,2022,2022.0,Kyle Gibson,PHI,.556,5.26,9.45,7.73,2.58,1.29,5.05,1.34,0.759,16.0,0.268,2022.0,Corey Kluber,TB,.500,4.50,9.77,7.63,1.15,1.10,4.34,1.21,0.729,7.0,0.274,2022.0,BAL,1309.0,5670.0,0.231,2181.0,0.346,2391.0,0.379,694.0,0.11,1493.0,5670.0,0.263,484.0,0.077,662.0,0.105,2022.0,BOS,1487.0,5744.0,0.259,2354.0,0.368,2556.0,0.4,781.0,0.122,1460.0,5744.0,0.254,516.0,0.081,721.0,0.113,2023
8,2023-03-30,CWS,Dylan Cease,HOU,Framber Valdez,3,2,38,11,0.289,1,1,0,11,30,4,0.133,1,2,0,4,False,2022,2022.0,Dylan Cease,CWS,.636,2.69,6.16,11.10,3.82,0.78,2.20,1.11,0.584,5.0,0.19,2022.0,Framber Valdez,HOU,.739,3.17,7.42,8.67,3.00,0.49,2.82,1.16,0.601,25.0,0.223,2022.0,CWS,1485.0,5814.0,0.255,2261.0,0.356,2436.0,0.384,715.0,0.113,1298.0,5814.0,0.223,412.0,0.065,674.0,0.106,2022.0,HOU,1506.0,5968.0,0.252,2540.0,0.381,2468.0,0.37,801.0,0.12,1272.0,5968.0,0.213,573.0,0.086,796.0,0.119,2023
9,2023-03-30,MIN,Pablo Lopez,KC,Zack Greinke,2,0,37,11,0.297,0,4,0,12,27,2,0.074,1,5,0,6,False,2022,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,Zack Greinke,KC,.308,4.27,10.31,4.80,1.77,0.92,3.68,1.34,0.737,11.0,0.286,2022.0,MIN,1359.0,5501.0,0.247,2198.0,0.358,2399.0,0.39,703.0,0.114,1363.0,5501.0,0.248,523.0,0.085,668.0,0.109,2022.0,KC,1039.0,4340.0,0.239,1652.0,0.345,1889.0,0.395,508.0,0.106,1104.0,4340.0,0.254,344.0,0.072,489.0,0.102,2023
10,2023-03-30,SF,Logan Webb,NYY,Gerrit Cole,0,5,30,4,0.133,0,3,0,6,32,8,0.25,0,2,0,5,True,2022,2022.0,Logan Webb,SF,.625,3.56,8.14,7.63,2.29,0.51,2.90,1.16,0.639,22.0,0.24,2022.0,Gerrit Cole,NYY,.619,3.63,6.91,11.53,2.24,1.48,3.50,1.02,0.65,12.0,0.209,2022.0,SF,1206.0,5149.0,0.234,2007.0,0.344,2219.0,0.38,678.0,0.116,1390.0,5149.0,0.27,543.0,0.093,639.0,0.109,2022.0,NYY,1423.0,5686.0,0.25,2434.0,0.377,2461.0,0.381,841.0,0.13,1362.0,5686.0,0.24,629.0,0.097,792.0,0.123,2023
11,2023-03-30,LAA,Shohei Ohtani,OAK,Kyle Muller,1,2,31,5,0.161,0,4,1,7,29,6,0.207,0,4,1,7,True,2022,2022.0,Shohei Ohtani,LAA,.625,2.44,6.72,11.87,2.39,0.76,2.33,1.01,0.574,10.0,0.203,2022.0,Kyle Muller,ATL,.500,8.03,9.49,8.76,5.84,1.46,8.03,1.70,0.782,0.0,0.26,2022.0,LAA,1252.0,5401.0,0.232,2087.0,0.351,2184.0,0.367,621.0,0.104,1516.0,5401.0,0.281,450.0,0.076,583.0,0.098,2022.0,OAK,1061.0,5000.0,0.212,1689.0,0.305,1975.0,0.357,524.0,0.095,1327.0,5000.0,0.265,413.0,0.075,503.0,0.091,2023
12,2023-03-30,CLE,Shane Bieber,SEA,Luis Castillo,0,3,31,4,0.129,0,0,0,4,30,7,0.233,1,1,0,5,True,2022,2022.0,Shane Bieber,CLE,.619,3.15,7.74,8.91,1.62,0.81,2.88,1.04,0.613,17.0,0.23,2022.0,Luis Castillo,DET,.---,0.00,4.91,9.82,0.00,0.00,0.00,0.55,0.286,0.0,0.143,2022.0,CLE,1321.0,5114.0,0.258,1998.0,0.352,2240.0,0.395,654.0,0.115,980.0,5114.0,0.192,415.0,0.073,628.0,0.111,2022.0,SEA,1319.0,5747.0,0.23,2226.0,0.34,2430.0,0.371,741.0,0.113,1478.0,5747.0,0.257,655.0,0.1,699.0,0.107,2023
